gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2611103087	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68846538/original.jpeg?1587837077	https://www.inaturalist.org/photos/68846538					2020-04-25T19:02:44Z	ruthlawren		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruthlawren
2611102549	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68359455/original.jpg?1587725907	https://www.inaturalist.org/photos/68359455					2020-04-24T08:28:06Z	suzannegrace		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	suzannegrace
2611097703	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69810003/original.jpeg?1588031415	https://www.inaturalist.org/photos/69810003					2020-04-27T21:51:51Z	moletoal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	moletoal
2611083460	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69554990/original.jpg?1587978978	https://www.inaturalist.org/photos/69554990					2020-04-27T09:14:00Z	Marcia Dale		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcia Dale
2611077314	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69098112/original.jpeg?1587880002	https://www.inaturalist.org/photos/69098112					2017-05-03T02:50:47Z	gemmaholden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gemmaholden
2611072047	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68526916/original.jpeg?1587761654	https://www.inaturalist.org/photos/68526916					2020-04-24T20:39:47Z	Andy Slater		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Andy Slater
2611070247	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69192655/original.jpg?1587910023	https://www.inaturalist.org/photos/69192655					2020-04-26T13:02:11Z	Jethro Reading		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jethro Reading
2611068520	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67788167/original.jpeg?1587406167	https://www.inaturalist.org/photos/67788167					2020-04-20T07:43:00Z	Herman Berteler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Herman Berteler
2611064589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67580533/original.jpeg?1587296246	https://www.inaturalist.org/photos/67580533					2020-04-19T11:33:47Z	Marianne Kollmesch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marianne Kollmesch
2611064589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67580544/original.jpeg?1587296253	https://www.inaturalist.org/photos/67580544					2020-04-19T11:33:47Z	Marianne Kollmesch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marianne Kollmesch
2611064589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67585077/original.jpeg?1587299556	https://www.inaturalist.org/photos/67585077					2020-04-19T11:33:47Z	Marianne Kollmesch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marianne Kollmesch
2611063235	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69569487/original.jpg?1587985387	https://www.inaturalist.org/photos/69569487					2020-04-27T10:02:18Z	rishtonbirder		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rishtonbirder
2611062938	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69411169/original.jpeg?1587942074	https://www.inaturalist.org/photos/69411169					2020-04-27T00:25:08Z	Ian Bradley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ian Bradley
2611054847	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68892895/original.jpeg?1587843146	https://www.inaturalist.org/photos/68892895					2020-04-26T00:40:17Z	Ian Bradley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ian Bradley
2611053988	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69110590/original.jpg?1587885674	https://www.inaturalist.org/photos/69110590					2020-04-26T06:20:22Z	kite0718		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kite0718
2611052743	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68662398/original.jpg?1587790248	https://www.inaturalist.org/photos/68662398					2020-04-24T23:58:02Z	rinap50125		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rinap50125
2611049923	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69927768/original.jpg?1588066509	https://www.inaturalist.org/photos/69927768					2020-04-28T08:11:00Z	pmcg		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pmcg
2611049923	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69927795/original.jpg?1588066528	https://www.inaturalist.org/photos/69927795					2020-04-28T08:11:00Z	pmcg		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pmcg
2611047625	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68900084/original.jpg?1587844115	https://www.inaturalist.org/photos/68900084					2020-04-25T16:42:38Z	Mark		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mark
2611035400	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69435853/original.jpeg?1587945931	https://www.inaturalist.org/photos/69435853					2020-04-27T16:53:39Z	jennysaito		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jennysaito
2611035400	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69435903/original.jpeg?1587945942	https://www.inaturalist.org/photos/69435903					2020-04-27T16:53:58Z	jennysaito		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jennysaito
2611025874	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69633409/original.jpg?1588001770	https://www.inaturalist.org/photos/69633409					2020-04-27T12:30:17Z	annasargent		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annasargent
2611025874	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69633362/original.jpg?1588001761	https://www.inaturalist.org/photos/69633362					2020-04-27T12:30:17Z	annasargent		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	annasargent
